Title,Director,Guests,Sessions
PAPER TIGER,James Gray,James Gray; Adam Driver; Scarlett Johansson; Miles Teller,"6:00 PM Q&A: James Gray, Adam Driver, Scarlett Johansson, Miles Teller | 6:30 PM INTRO: James Gray | 9:00 PM INTRO: James Gray"
BEHEMOTH!,Tony Gilroy,Tony Gilroy; Pedro Pascal; Will Arnett; Eva Victor,"6:15 PM Q&A: Tony Gilroy, Pedro Pascal, Will Arnett, Eva Victor | 6:30 PM INTRO: Tony Gilroy, Pedro Pascal | 9:15 PM INTRO: Tony Gilroy, Pedro Pascal | 9:30 PM INTRO: Tony Gilroy, Pedro Pascal"
14TH,Ava DuVernay,Ava DuVernay; Sherrilyn Ifill; Van Lathan,"6:00 PM Q&A: Ava DuVernay, Sherrilyn Ifill, Van Lathan | 6:30 PM INTRO: Ava DuVernay | 8:45 PM INTRO: Ava DuVernay"
9 TEMPLES TO HEAVEN,Sompot Chidgasornpongse,Sompot Chidgasornpongse; Kissada Kamyoung,"9:00 PM Q&A: Sompot Chidgasornpongse, Kissada Kamyoung | 3:15 PM Q&A: Sompot Chidgasornpongse, Kissada Kamyoung"
ALL OF A SUDDEN,Ryûsuke Hamaguchi,Ryûsuke Hamaguchi; Virginie Efira,"5:00 PM Q&A: Ryûsuke Hamaguchi, Virginie Efira | 2:00 PM Q&A: Ryûsuke Hamaguchi, Virginie Efira"
ARTIFICIAL,Luca Guadagnino,Luca Guadagnino,5:00 PM Q&A: Luca Guadagnino | 2:30 PM Q&A: Luca Guadagnino
BITTER CHRISTMAS,Pedro Almodóvar,Pedro Almodóvar; Milena Smit,"5:30 PM Q&A: Pedro Almodóvar, Milena Smit | 3:15 PM Q&A: Pedro Almodóvar, Milena Smit"
CLARISSA,Arie Esiri and Chuko Esiri,Chuko Esiri; Arie Esiri; Sophie Okonedo; David Oyelowo; India Amarteifio; Toheeb Jimoh; Nina Gold,"5:45 PM Q&A: Chuko Esiri, Arie Esiri, Sophie Okonedo, David Oyelowo, India Amarteifio, Toheeb Jimoh, Nina Gold | 12:00 PM Q&A: Chuko Esiri, Arie Esiri, Sophie Okonedo, David Oyelowo, India Amarteifio, Toheeb Jimoh, Nina Gold"
DAO,Alain Gomis,Alain Gomis,12:00 PM Q&A: Alain Gomis | 3:00 PM Q&A: Alain Gomis
DOUBLE FREEDOM,Lisandro Alonso,Lisandro Alonso,8:30 PM Q&A: Lisandro Alonso | 6:15 PM Q&A: Lisandro Alonso
THE DREAMED ADVENTURE,Valeska Grisebach,Valeska Grisebach,8:15 PM Q&A: Valeska Grisebach | 5:30 PM Q&A: Valeska Grisebach
EVERYTHING ELSE IS NOISE,Nicolás Pereda,Nicolás Pereda; Lázaro G. Rodríguez,"4:30 PM Q&A: Nicolás Pereda, Lázaro G. Rodríguez | 9:30 PM Q&A: Nicolás Pereda, Lázaro G. Rodríguez"
EVERYTIME,Sandra Wollner,Sandra Wollner; Carla Hüttermann,"9:00 PM Q&A: Sandra Wollner, Carla Hüttermann | 12:45 PM Q&A: Sandra Wollner, Carla Hüttermann"
FATHERLAND,Paweł Pawlikowski,Paweł Pawlikowski; Hanns Zischler,"12:00 PM Q&A: Paweł Pawlikowski, Hanns Zischler | 2:45 PM Q&A: Paweł Pawlikowski, Hanns Zischler"
LA GRADIVA,Marine Atlan,Marine Atlan,5:45 PM Q&A: Marine Atlan | 2:30 PM Q&A: Marine Atlan
I DESERVE A LOVER WHOSE EVERY RISE SETS FIERY DOOMS RAGING ACROSS THE SKIES,Mani Haghighi,Mani Haghighi,6:15 PM Q&A: Mani Haghighi | 9:00 PM Q&A: Mani Haghighi
I RARELY WAKE UP DREAMING,Isabelle Stever,Isabelle Stever; Anna Melikova; Tania Myronyshena,"6:15 PM Q&A: Isabelle Stever, Anna Melikova, Tania Myronyshena | 1:15 PM Q&A: Isabelle Stever, Anna Melikova, Tania Myronyshena"
THE LONELIEST MAN IN TOWN,Tizza Covi and Rainer Frimmel,Tizza Covi; Rainer Frimmel,"9:15 PM Q&A: Tizza Covi, Rainer Frimmel | 12:30 PM Q&A: Tizza Covi, Rainer Frimmel"
A LONG WINTER,Andrew Haigh,Andrew Haigh; Fred Hechinger; Ebon Moss-Bachrach; Caitríona Balfe; Kit Connor; D'Pharaoh Woon-A-Tai,"9:15 PM Q&A: Andrew Haigh, Fred Hechinger, Ebon Moss-Bachrach, Caitríona Balfe, Kit Connor, D'Pharaoh Woon-A-Tai | 3:15 PM Q&A: Andrew Haigh, Fred Hechinger, Ebon Moss-Bachrach, Caitríona Balfe, Kit Connor, D'Pharaoh Woon-A-Tai"
THE MAN I LOVE,Ira Sachs,Ira Sachs; Rami Malek; Ebon Moss-Bachrach,"6:00 PM Q&A: Ira Sachs, Rami Malek, Ebon Moss-Bachrach | 3:30 PM Q&A: Ira Sachs, Rami Malek, Ebon Moss-Bachrach"
A MAN OF HIS TIME,Emmanuel Marre,Emmanuel Marre,8:15 PM Q&A: Emmanuel Marre | 2:30 PM Q&A: Emmanuel Marre
MINOTAUR,Andrey Zvyagintsev,Andrey Zvyagintsev,3:00 PM Q&A: Andrey Zvyagintsev | 11:30 AM Q&A: Andrey Zvyagintsev
MISTY GREEN,Chris Rock,Chris Rock; Rosalind Eleazar; Daniel Kaluuya; Topher Grace; Amy Landecker,"9:15 PM Q&A: Chris Rock, Rosalind Eleazar, Daniel Kaluuya, Topher Grace, Amy Landecker | 11:30 AM Q&A: Chris Rock, Rosalind Eleazar, Daniel Kaluuya, Topher Grace, Amy Landecker"
MY UNDESIRABLE FRIENDS: PART II – EXILE,Julia Loktev,Julia Loktev; Ksenia Mironova; Alesya Marokhovskaya; Irina Dolinina; Sonya Groysman; Elena Kostyuchenko,"11:45 AM Q&A: Julia Loktev, Ksenia Mironova, Alesya Marokhovskaya, Irina Dolinina, Sonya Groysman, Elena Kostyuchenko"
MY WIFE CRIES,Angela Schanelec,Angela Schanelec,9:30 PM Q&A: Angela Schanelec | 6:15 PM Q&A: Angela Schanelec
ONCE UPON A TIME IN HARLEM,William Greaves and David Greaves,David Greaves; Liani Greaves; Anne de Mare,"8:30 PM Q&A: David Greaves, Liani Greaves, Anne de Mare | 6:15 PM Q&A: David Greaves, Liani Greaves, Anne de Mare"
POSSIBLE LOVE,Lee Chang-dong,Lee Chang-dong; Jeon Do-yeon; Sul Kyung-gu; Zo In-sung; Cho Yeo-jeong,"5:30 PM Q&A: Lee Chang-dong, Jeon Do-yeon, Sul Kyung-gu, Zo In-sung, Cho Yeo-jeong | 11:30 AM Q&A: Lee Chang-dong"
ROSE,Markus Schleinzer,Markus Schleinzer; Sandra Hüller,"1:00 PM Q&A: Markus Schleinzer, Sandra Hüller | 9:15 PM Q&A: Markus Schleinzer"
TENDER LOVING CARE,Mike Leigh,Mike Leigh; Marion Bailey; Kate O'Flynn,"6:00 PM Q&A: Mike Leigh, Marion Bailey, Kate O'Flynn | 6:00 PM Q&A: Mike Leigh, Marion Bailey, Kate O'Flynn"
THE UNKNOWN,Arthur Harari,Arthur Harari; Niels Schneider,"8:45 PM Q&A: Arthur Harari, Niels Schneider | 12:45 PM Q&A: Arthur Harari, Niels Schneider"
GODZILLA MINUS ZERO,Takashi Yamazaki,Takashi Yamazaki; Ryunosuke Kamiki; Minami Hamabe,"6:00 PM Q&A: Takashi Yamazaki, Ryunosuke Kamiki, Minami Hamabe | 2:15 PM Q&A: Takashi Yamazaki"
CAMERON WINTER AT CARNEGIE HALL,Paul Thomas Anderson,Paul Thomas Anderson; Cameron Winter,"9:15 PM INTRO: Paul Thomas Anderson, Cameron Winter"
CLUB KID,Jordan Firstman,Jordan Firstman,9:15 PM Q&A: Jordan Firstman | 2:45 PM Q&A: Jordan Firstman
THE DEBUT,Jesse Eisenberg,Jesse Eisenberg; Julianne Moore; Paul Giamatti,"8:30 PM Q&A: Jesse Eisenberg, Julianne Moore, Paul Giamatti | 3:15 PM Q&A"
EDWARD SAID: BETWEEN WORLDS,Maiken Baird,Maiken Baird,8:45 PM Q&A: Maiken Baird | 6:15 PM Q&A: Maiken Baird
FJORD,Cristian Mungiu,Cristian Mungiu; Sebastian Stan,"8:45 PM Q&A: Cristian Mungiu, Sebastian Stan | 5:00 PM Q&A: Cristian Mungiu, Sebastian Stan"
IRON BOY,Louis Clichy,Chloe Aubert; Céline Vanlint,"10:30 AM Q&A: Chloe Aubert, Céline Vanlint | 12:00 PM Q&A: Chloe Aubert, Céline Vanlint"
JOY OF JOYS,Jonathan Glazer,Jonathan Glazer; Mica Levi; Rich Clarke,"6:00 PM Q&A: Jonathan Glazer, Mica Levi, Rich Clarke"
MAKING MARIE ANTOINETTE,Eleanor Coppola,Sofia Coppola,6:00 PM Q&A: Sofia Coppola | 3:45 PM Q&A: Sofia Coppola
ONE MORE TIME,Cindy Kleine and André Gregory,André Gregory; Cindy Kleine; Larry Pine; Gerry Bamman,"4:00 PM Q&A: André Gregory, Cindy Kleine, Larry Pine, Gerry Bamman | 6:30 PM Q&A: André Gregory, Cindy Kleine, Larry Pine, Gerry Bamman"
THE ONLY LIVING PICKPOCKET IN NEW YORK,Noah Segan,Noah Segan; John Turturro; Tatiana Maslany,"6:00 PM Q&A: Noah Segan, John Turturro, Tatiana Maslany"
SIXTEEN MOMENTS OF MY LIFE,Albert Serra,Albert Serra,6:30 PM Q&A: Albert Serra | 1:00 PM Q&A: Albert Serra
A STATEMENT,Tom McCarthy,Tom McCarthy,6:15 PM Q&A: Tom McCarthy
YOU CAN SEE EVERYTHING,Nathan Fielder and Lance Oppenheim,Nathan Fielder; Lance Oppenheim,"8:00 PM Q&A: Nathan Fielder, Lance Oppenheim"
SPOTLIGHT SHORTS,"Kleber Mendonça Filho, Kamal Aljafari, Camilo Restrepo, Jia Zhangke, Morgan Fisher",Kamal Aljafari; Camilo Restrepo,"6:30 PM Q&A: Kamal Aljafari, Camilo Restrepo | 9:00 PM Q&A: Kamal Aljafari, Camilo Restrepo"
NEW YORK SHORTS,"J. Wortham, Heather Landsman, Eliza Barry Callahan, Fanny Texier, Charlotte Wells",J. Wortham; Heather Landsman; Eliza Barry Callahan; Fanny Texier; Charlotte Wells,"9:15 PM Q&A: J. Wortham, Heather Landsman, Eliza Barry Callahan, Fanny Texier, Charlotte Wells | 12:45 PM Q&A: J. Wortham, Heather Landsman, Eliza Barry Callahan, Fanny Texier, Charlotte Wells"
BARDI,Tala Hadid,Tala Hadid,6:15 PM Q&A: Tala Hadid | 9:15 PM Q&A: Tala Hadid
AT NIGHT,Beatrice Gibson,Beatrice Gibson,9:00 PM Q&A: Beatrice Gibson | 5:30 PM Q&A: Beatrice Gibson
A DAY IN THE LIFE OF JO: CHAPTER PHAEDRA,Jacqueline Lentzou,Jacqueline Lentzou,3:30 PM Q&A: Jacqueline Lentzou | 6:45 PM Q&A: Jacqueline Lentzou
FOR THE MOON,Éric Baudelaire,Baudelaire; Claire Atherton,"9:00 PM Q&A: Baudelaire, Claire Atherton | 6:15 PM Q&A: Baudelaire, Claire Atherton"
FOREIGN TRAVEL,Ted Fendt,Ted Fendt,9:15 PM Q&A: Ted Fendt | 6:45 PM Q&A: Ted Fendt
HANABI,Ana Vaz,Ana Vaz,8:45 PM Q&A: Ana Vaz | 6:15 PM Q&A: Ana Vaz
HEIL JUPITER!,Carlos Reygadas,Carlos Reygadas,2:15 PM Q&A: Carlos Reygadas | 6:00 PM Q&A: Carlos Reygadas
LIFE OF JORGE LUIS BORGES,Mariano Llinás,Mariano Llinás,5:15 PM Q&A: Mariano Llinás | 12:00 PM Q&A: Mariano Llinás
LONDON,Sebastian Brameshuber,Sebastian Brameshuber; Bobby Sommer,"6:00 PM Q&A: Sebastian Brameshuber, Bobby Sommer | 9:15 PM Q&A: Sebastian Brameshuber, Bobby Sommer"
OVERT LISTENING,Tiffany Sia,Tiffany Sia,12:00 PM Q&A: Tiffany Sia | 2:45 PM Q&A: Tiffany Sia
THE REMOTES,John Torres,John Torres,8:45 PM Q&A: John Torres | 4:15 PM Q&A: John Torres
SUICIDE NOTE,Fred Camper,Fred Camper; Kyle Westphal,"6:00 PM Q&A: Fred Camper, Kyle Westphal | 8:15 PM Q&A: Fred Camper, Kyle Westphal"
TOMORROW A LONG TIME AGO,Luise Donschen,Luise Donschen,6:15 PM Q&A: Luise Donschen | 1:45 PM Q&A: Luise Donschen
WHAT CAN’T BE MENTIONED,Dan Sallitt,Dan Sallitt; Tallie Medel; Sky Hirschkron; Kit Zauhar; Kyle McCormack,"7:00 PM Q&A: Dan Sallitt, Tallie Medel, Sky Hirschkron, Kit Zauhar, Kyle McCormack | 12:00 PM Q&A: Dan Sallitt, Tallie Medel, Sky Hirschkron, Kit Zauhar, Kyle McCormack"
CURRENTS PROGRAM 1: THE HIDDEN DIMENSION,"Yixuan Zhang, Josh Weissbach, Natalia Marín, Jamie Crewe, Tatsu Aoki",Yixuan Zhang; Josh Weissbach; Ben Balcom; Natalia Marín; Jamie Crewe; Tatsu Aoki,"12:15 PM Q&A: Yixuan Zhang, Josh Weissbach, Ben Balcom, Natalia Marín, Jamie Crewe, Tatsu Aoki | 2:15 PM Q&A: Yixuan Zhang, Josh Weissbach, Ben Balcom, Natalia Marín, Jamie Crewe, Tatsu Aoki"
CURRENTS PROGRAM 2: THE VISIBLE INVISIBLE,"James Richards, Artavazd Pelechian, Johann Lurf, Morgan Fisher",James Richards; Johann Lurf; Morgan Fisher,"6:45 PM Q&A: James Richards, Johann Lurf, Morgan Fisher | 12:15 PM Q&A: James Richards, Johann Lurf"
CURRENTS PROGRAM 3: SURFACE NOISE,"Simon Liu, Jonathan Seungjoon Lee, Laura Kraning, Siegfried A. Fruhauf, Karissa Hahn, Cameron Worden",Simon Liu; Laura Kraning; Jonathan Seungjoon Lee; Karissa Hahn; Cameron Worden,"9:00 PM Q&A: Simon Liu, Laura Kraning, Jonathan Seungjoon Lee, Karissa Hahn, Cameron Worden | 7:00 PM Q&A: Simon Liu, Laura Kraning, Jonathan Seungjoon Lee, Cameron Worden"
CURRENTS PROGRAM 4: THE REAL WORLD,"Calum Walter, Martine Syms, Jesse McLean, Jiaqi Yu",Calum Walter; Martine Syms; Jesse McLean,"7:15 PM Q&A: Calum Walter, Martine Syms, Jesse McLean | 6:00 PM Q&A: Calum Walter, Martine Syms, Jesse McLean"
CURRENTS PROGRAM 5: THE MATERIAL GHOST,"Peggy Ahwesh, Kevin Jerome Everson, Adam Piron, Bani Khoshnoudi",Peggy Ahwesh; Adam Piron; Bani Khoshnoudi,"9:30 PM Q&A: Peggy Ahwesh, Adam Piron, Bani Khoshnoudi | 4:00 PM Q&A: Peggy Ahwesh, Adam Piron, Bani Khoshnoudi"
CURRENTS PROGRAM 6: OUT OF THE PRESENT,"Laura Poitras, Rachel Lauren Mueller, Ben Russell, Vika Kirchenbauer, Mara Chavez, doris duhennois",Laura Poitras; Rachel Lauren Mueller; Ben Russell; Mara Chavez,"8:45 PM Q&A: Laura Poitras, Rachel Lauren Mueller, Ben Russell, Mara Chavez | 9:00 PM Q&A: Laura Poitras, Rachel Lauren Mueller, Ben Russell, Mara Chavez"
THE DEVILS,Ken Russell,Mark Kermode,9:00 PM Q&A: Mark Kermode
GONE TO EARTH,Michael Powell and Emeric Pressburger,Martin Scorsese,4:00 PM Q&A: Martin Scorsese
NITRATE KISSES,Barbara Hammer,Florrie Burke; Brydie O'Connor,"2:30 PM INTRO: Florrie Burke, Brydie O'Connor | 7:00 PM INTRO: Florrie Burke, Brydie O'Connor"
A WELL FOR THE THIRSTY,Yuri Ilyenko,Daniel Bird,6:30 PM INTRO: Daniel Bird | 12:45 PM INTRO: Daniel Bird
YESTERDAY GIRL,Alexander Kluge,Sophie Kluge,9:15 PM INTRO: Sophie Kluge
